,texto,tokens,bigramas_spacy,bigramas_nltk,texto_lematizado,texto_preprocesado,polaridad
330,jaja sorpresa sorpresa casi igual que con claudia,"['jaja', 'sorpresa', 'sorpresa', 'casi', 'igual', 'que', 'con', 'claudia']","[('jaja', 'sorpresa'), ('sorpresa', 'sorpresa'), ('sorpresa', 'casi'), ('casi', 'igual'), ('igual', 'que'), ('que', 'con'), ('con', 'claudia')]","[('jaja', 'sorpresa', 'sorpresa'), ('sorpresa', 'sorpresa', 'casi'), ('sorpresa', 'casi', 'igual'), ('casi', 'igual', 'que'), ('igual', 'que', 'con'), ('que', 'con', 'claudia')]",jajar sorprés sorpresa casi igual que con claudia,"['jajar', 'sorpré', 'sorpresa', 'claudia']",0.03368888907655219
331,que chingon que vaya el doctor de nuevo así vuelven a perder seguro,"['que', 'chingon', 'que', 'vaya', 'el', 'doctor', 'de', 'nuevo', 'así', 'vuelven', 'a', 'perder', 'seguro']","[('que', 'chingon'), ('chingon', 'que'), ('que', 'vaya'), ('vaya', 'el'), ('el', 'doctor'), ('doctor', 'de'), ('de', 'nuevo'), ('nuevo', 'así'), ('así', 'vuelven'), ('vuelven', 'a'), ('a', 'perder'), ('perder', 'seguro')]","[('que', 'chingon', 'que'), ('chingon', 'que', 'vaya'), ('que', 'vaya', 'el'), ('vaya', 'el', 'doctor'), ('el', 'doctor', 'de'), ('doctor', 'de', 'nuevo'), ('de', 'nuevo', 'así'), ('nuevo', 'así', 'vuelven'), ('así', 'vuelven', 'a'), ('vuelven', 'a', 'perder'), ('a', 'perder', 'seguro')]",que chingon que ir el doctor de nuevo así volver a perder seguro,"['chingon', 'doctor', 'volver', 'perder', 'seguro']",0.15193338228257292
332,es algo muy tonto volver a poner a lomeli debieron poner a otro candidato pero en fin,"['es', 'algo', 'muy', 'tonto', 'volver', 'a', 'poner', 'a', 'lomeli', 'debieron', 'poner', 'a', 'otro', 'candidato', 'pero', 'en', 'fin']","[('es', 'algo'), ('algo', 'muy'), ('muy', 'tonto'), ('tonto', 'volver'), ('volver', 'a'), ('a', 'poner'), ('poner', 'a'), ('a', 'lomeli'), ('lomeli', 'debieron'), ('debieron', 'poner'), ('poner', 'a'), ('a', 'otro'), ('otro', 'candidato'), ('candidato', 'pero'), ('pero', 'en'), ('en', 'fin')]","[('es', 'algo', 'muy'), ('algo', 'muy', 'tonto'), ('muy', 'tonto', 'volver'), ('tonto', 'volver', 'a'), ('volver', 'a', 'poner'), ('a', 'poner', 'a'), ('poner', 'a', 'lomeli'), ('a', 'lomeli', 'debieron'), ('lomeli', 'debieron', 'poner'), ('debieron', 'poner', 'a'), ('poner', 'a', 'otro'), ('a', 'otro', 'candidato'), ('otro', 'candidato', 'pero'), ('candidato', 'pero', 'en'), ('pero', 'en', 'fin')]",ser algo mucho tonto volver a poner a lomeli deber poner a otro candidato pero en fin,"['tonto', 'volver', 'lomeli', 'deber', 'candidato']",0.014625230347537372
333,1,['1'],[],[],1,[],0.49789225920557484
334,jalisco ya decidió vamos con el doctor carlos lomelí,"['jalisco', 'ya', 'decidió', 'vamos', 'con', 'el', 'doctor', 'carlos', 'lomelí']","[('jalisco', 'ya'), ('ya', 'decidió'), ('decidió', 'vamos'), ('vamos', 'con'), ('con', 'el'), ('el', 'doctor'), ('doctor', 'carlos'), ('carlos', 'lomelí')]","[('jalisco', 'ya', 'decidió'), ('ya', 'decidió', 'vamos'), ('decidió', 'vamos', 'con'), ('vamos', 'con', 'el'), ('con', 'el', 'doctor'), ('el', 'doctor', 'carlos'), ('doctor', 'carlos', 'lomelí')]",jalisco ya decidir ir con el doctor carlos lomelí,"['jaliscir', 'decidir', 'doctor', 'carlos', 'lomelí']",0.09185863058292351
335,a menos de 20 días de que termine el plazo para elegir al coordinador estatal de la defensa de la 4t en jalisco las tendencias son irreversibles en jalisco la militancia y los simpatizantes de morena apoyan al,"['a', 'menos', 'de', '20', 'días', 'de', 'que', 'termine', 'el', 'plazo', 'para', 'elegir', 'al', 'coordinador', 'estatal', 'de', 'la', 'defensa', 'de', 'la', '4t', 'en', 'jalisco', 'las', 'tendencias', 'son', 'irreversibles', 'en', 'jalisco', 'la', 'militancia', 'y', 'los', 'simpatizantes', 'de', 'morena', 'apoyan', 'al']","[('a', 'menos'), ('menos', 'de'), ('de', '20'), ('20', 'días'), ('días', 'de'), ('de', 'que'), ('que', 'termine'), ('termine', 'el'), ('el', 'plazo'), ('plazo', 'para'), ('para', 'elegir'), ('elegir', 'al'), ('al', 'coordinador'), ('coordinador', 'estatal'), ('estatal', 'de'), ('de', 'la'), ('la', 'defensa'), ('defensa', 'de'), ('de', 'la'), ('la', '4'), ('4', 't'), ('t', 'en'), ('en', 'jalisco'), ('jalisco', 'las'), ('las', 'tendencias'), ('tendencias', 'son'), ('son', 'irreversibles'), ('irreversibles', 'en'), ('en', 'jalisco'), ('jalisco', 'la'), ('la', 'militancia'), ('militancia', 'y'), ('y', 'los'), ('los', 'simpatizantes'), ('simpatizantes', 'de'), ('de', 'morena'), ('morena', 'apoyan'), ('apoyan', 'al')]","[('a', 'menos', 'de'), ('menos', 'de', '20'), ('de', '20', 'días'), ('20', 'días', 'de'), ('días', 'de', 'que'), ('de', 'que', 'termine'), ('que', 'termine', 'el'), ('termine', 'el', 'plazo'), ('el', 'plazo', 'para'), ('plazo', 'para', 'elegir'), ('para', 'elegir', 'al'), ('elegir', 'al', 'coordinador'), ('al', 'coordinador', 'estatal'), ('coordinador', 'estatal', 'de'), ('estatal', 'de', 'la'), ('de', 'la', 'defensa'), ('la', 'defensa', 'de'), ('defensa', 'de', 'la'), ('de', 'la', '4t'), ('la', '4t', 'en'), ('4t', 'en', 'jalisco'), ('en', 'jalisco', 'las'), ('jalisco', 'las', 'tendencias'), ('las', 'tendencias', 'son'), ('tendencias', 'son', 'irreversibles'), ('son', 'irreversibles', 'en'), ('irreversibles', 'en', 'jalisco'), ('en', 'jalisco', 'la'), ('jalisco', 'la', 'militancia'), ('la', 'militancia', 'y'), ('militancia', 'y', 'los'), ('y', 'los', 'simpatizantes'), ('los', 'simpatizantes', 'de'), ('simpatizantes', 'de', 'morena'), ('de', 'morena', 'apoyan'), ('morena', 'apoyan', 'al')]",a menos de 20 día de que terminar el plazo para elegir al coordinador estatal de el defensa de el 4 t en jalisco el tendencia ser irreversible en jalisco el militancia y el simpatizante de morena apoyar al,"['terminar', 'plazo', 'elegir', 'coordinador', 'estatal', 'defensa', 't', 'jalisco', 'tendencia', 'irreversible', 'jalisco', 'militancia', 'simpatizante', 'morena', 'apoyar']",0.008242100995844144
336,no mames tus pinches tranzas con tus empresas no están nubladas son oscuras tirando a negro cabron cínico jajajajajajajajajajajaja,"['no', 'mames', 'tus', 'pinches', 'tranzas', 'con', 'tus', 'empresas', 'no', 'están', 'nubladas', 'son', 'oscuras', 'tirando', 'a', 'negro', 'cabron', 'cínico', 'jajajajajajajajajajajaja']","[('no', 'mames'), ('mames', 'tus'), ('tus', 'pinches'), ('pinches', 'tranzas'), ('tranzas', 'con'), ('con', 'tus'), ('tus', 'empresas'), ('empresas', 'no'), ('no', 'están'), ('están', 'nubladas'), ('nubladas', 'son'), ('son', 'oscuras'), ('oscuras', 'tirando'), ('tirando', 'a'), ('a', 'negro'), ('negro', 'cabron'), ('cabron', 'cínico'), ('cínico', 'jajajajajajajajajajajaja')]","[('no', 'mames', 'tus'), ('mames', 'tus', 'pinches'), ('tus', 'pinches', 'tranzas'), ('pinches', 'tranzas', 'con'), ('tranzas', 'con', 'tus'), ('con', 'tus', 'empresas'), ('tus', 'empresas', 'no'), ('empresas', 'no', 'están'), ('no', 'están', 'nubladas'), ('están', 'nubladas', 'son'), ('nubladas', 'son', 'oscuras'), ('son', 'oscuras', 'tirando'), ('oscuras', 'tirando', 'a'), ('tirando', 'a', 'negro'), ('a', 'negro', 'cabron'), ('negro', 'cabron', 'cínico'), ('cabron', 'cínico', 'jajajajajajajajajajajaja')]",no mamar tus  pinch tranza con tu empresa no estar nublada ser oscuro tirar a negro cabron cínico jajajajajajajajajajajaja,"['mamar', 'pinch', 'tranza', 'empresa', 'nublado', 'oscuro', 'tirar', 'negro', 'cabron', 'cínico', 'jajajajajajajajajajajaja']",0.0011257038441138134
337,tu no eres ningún líder sino un corrupto oportunista que vive traicionar y usar a la gente no mereces ningún apoyo eres peor que álfaro,"['tu', 'no', 'eres', 'ningún', 'líder', 'sino', 'un', 'corrupto', 'oportunista', 'que', 'vive', 'traicionar', 'y', 'usar', 'a', 'la', 'gente', 'no', 'mereces', 'ningún', 'apoyo', 'eres', 'peor', 'que', 'álfaro']","[('tu', 'no'), ('no', 'eres'), ('eres', 'ningún'), ('ningún', 'líder'), ('líder', 'sino'), ('sino', 'un'), ('un', 'corrupto'), ('corrupto', 'oportunista'), ('oportunista', 'que'), ('que', 'vive'), ('vive', 'traicionar'), ('traicionar', 'y'), ('y', 'usar'), ('usar', 'a'), ('a', 'la'), ('la', 'gente'), ('gente', 'no'), ('no', 'mereces'), ('mereces', 'ningún'), ('ningún', 'apoyo'), ('apoyo', 'eres'), ('eres', 'peor'), ('peor', 'que'), ('que', 'álfaro')]","[('tu', 'no', 'eres'), ('no', 'eres', 'ningún'), ('eres', 'ningún', 'líder'), ('ningún', 'líder', 'sino'), ('líder', 'sino', 'un'), ('sino', 'un', 'corrupto'), ('un', 'corrupto', 'oportunista'), ('corrupto', 'oportunista', 'que'), ('oportunista', 'que', 'vive'), ('que', 'vive', 'traicionar'), ('vive', 'traicionar', 'y'), ('traicionar', 'y', 'usar'), ('y', 'usar', 'a'), ('usar', 'a', 'la'), ('a', 'la', 'gente'), ('la', 'gente', 'no'), ('gente', 'no', 'mereces'), ('no', 'mereces', 'ningún'), ('mereces', 'ningún', 'apoyo'), ('ningún', 'apoyo', 'eres'), ('apoyo', 'eres', 'peor'), ('eres', 'peor', 'que'), ('peor', 'que', 'álfaro')]",tu no ser ninguno líder sino uno corrupto oportunista que vivir traicionar y usar a el gente no merecer ninguno apoyo ser peor que álfaro,"['líder', 'corrupto', 'oportunista', 'vivir', 'traicionar', 'gente', 'merecer', 'apoyo', 'álfaro']",2.321881114815864e-09
338,1,['1'],[],[],1,[],0.49789225920557484
339,lomelí también tiene la cola muuuy larga cof cof,"['lomelí', 'también', 'tiene', 'la', 'cola', 'muuuy', 'larga', 'cof', 'cof']","[('lomelí', 'también'), ('también', 'tiene'), ('tiene', 'la'), ('la', 'cola'), ('cola', 'muuuy'), ('muuuy', 'larga'), ('larga', 'cof'), ('cof', 'cof')]","[('lomelí', 'también', 'tiene'), ('también', 'tiene', 'la'), ('tiene', 'la', 'cola'), ('la', 'cola', 'muuuy'), ('cola', 'muuuy', 'larga'), ('muuuy', 'larga', 'cof'), ('larga', 'cof', 'cof')]",lomelí también tener el colo muuuy largo cof cof,"['lomelí', 'colo', 'muuuy', 'cof', 'cof']",0.08747850455639618
340,mira cornudo callate,"['mira', 'cornudo', 'callate']","[('mira', 'cornudo'), ('cornudo', 'callate')]","[('mira', 'cornudo', 'callate')]",mirar cornudo callate,"['mirar', 'cornudo', 'callate']",0.49789225920557484
341,entonces ya te colocas del lado harfuchiano de la historia con los garcías ta bien para recordártelo después,"['entonces', 'ya', 'te', 'colocas', 'del', 'lado', 'harfuchiano', 'de', 'la', 'historia', 'con', 'los', 'garcías', 'ta', 'bien', 'para', 'recordártelo', 'después']","[('entonces', 'ya'), ('ya', 'te'), ('te', 'colocas'), ('colocas', 'del'), ('del', 'lado'), ('lado', 'harfuchiano'), ('harfuchiano', 'de'), ('de', 'la'), ('la', 'historia'), ('historia', 'con'), ('con', 'los'), ('los', 'garcías'), ('garcías', 'ta'), ('ta', 'bien'), ('bien', 'para'), ('para', 'recordártelo'), ('recordártelo', 'después')]","[('entonces', 'ya', 'te'), ('ya', 'te', 'colocas'), ('te', 'colocas', 'del'), ('colocas', 'del', 'lado'), ('del', 'lado', 'harfuchiano'), ('lado', 'harfuchiano', 'de'), ('harfuchiano', 'de', 'la'), ('de', 'la', 'historia'), ('la', 'historia', 'con'), ('historia', 'con', 'los'), ('con', 'los', 'garcías'), ('los', 'garcías', 'ta'), ('garcías', 'ta', 'bien'), ('ta', 'bien', 'para'), ('bien', 'para', 'recordártelo'), ('para', 'recordártelo', 'después')]",entonces ya tú colocar del lado harfuchiano de el historia con el garcía ta bien para recordártelo después,"['colocar', 'harfuchiano', 'historia', 'garcía', 'ta', 'recordártelo']",0.00018847252286023644
342,jajaja lo corrieron del jale de superdelegado por qué se asignó contratos a su propia empresa no digas mamadas este cabrón es más rata que todo el movimiento inmobiliario juntos,"['jajaja', 'lo', 'corrieron', 'del', 'jale', 'de', 'superdelegado', 'por', 'qué', 'se', 'asignó', 'contratos', 'a', 'su', 'propia', 'empresa', 'no', 'digas', 'mamadas', 'este', 'cabrón', 'es', 'más', 'rata', 'que', 'todo', 'el', 'movimiento', 'inmobiliario', 'juntos']","[('jajaja', 'lo'), ('lo', 'corrieron'), ('corrieron', 'del'), ('del', 'jale'), ('jale', 'de'), ('de', 'superdelegado'), ('superdelegado', 'por'), ('por', 'qué'), ('qué', 'se'), ('se', 'asignó'), ('asignó', 'contratos'), ('contratos', 'a'), ('a', 'su'), ('su', 'propia'), ('propia', 'empresa'), ('empresa', 'no'), ('no', 'digas'), ('digas', 'mamadas'), ('mamadas', 'este'), ('este', 'cabrón'), ('cabrón', 'es'), ('es', 'más'), ('más', 'rata'), ('rata', 'que'), ('que', 'todo'), ('todo', 'el'), ('el', 'movimiento'), ('movimiento', 'inmobiliario'), ('inmobiliario', 'juntos')]","[('jajaja', 'lo', 'corrieron'), ('lo', 'corrieron', 'del'), ('corrieron', 'del', 'jale'), ('del', 'jale', 'de'), ('jale', 'de', 'superdelegado'), ('de', 'superdelegado', 'por'), ('superdelegado', 'por', 'qué'), ('por', 'qué', 'se'), ('qué', 'se', 'asignó'), ('se', 'asignó', 'contratos'), ('asignó', 'contratos', 'a'), ('contratos', 'a', 'su'), ('a', 'su', 'propia'), ('su', 'propia', 'empresa'), ('propia', 'empresa', 'no'), ('empresa', 'no', 'digas'), ('no', 'digas', 'mamadas'), ('digas', 'mamadas', 'este'), ('mamadas', 'este', 'cabrón'), ('este', 'cabrón', 'es'), ('cabrón', 'es', 'más'), ('es', 'más', 'rata'), ('más', 'rata', 'que'), ('rata', 'que', 'todo'), ('que', 'todo', 'el'), ('todo', 'el', 'movimiento'), ('el', 'movimiento', 'inmobiliario'), ('movimiento', 'inmobiliario', 'juntos')]",jajaja él correr del jale de superdelegado por qué él asignó contrato a su propio empresa no diga mamada este cabrón ser más rata que todo el movimiento inmobiliario junto,"['jajaja', 'correr', 'jale', 'superdelegado', 'asignó', 'contrato', 'empresa', 'decir', 'mamado', 'cabrón', 'rata', 'movimiento', 'inmobiliario']",0.00019496108226385846
343,su pasado es negro no gris,"['su', 'pasado', 'es', 'negro', 'no', 'gris']","[('su', 'pasado'), ('pasado', 'es'), ('es', 'negro'), ('negro', 'no'), ('no', 'gris')]","[('su', 'pasado', 'es'), ('pasado', 'es', 'negro'), ('es', 'negro', 'no'), ('negro', 'no', 'gris')]",su pasado ser negro no gris,"['negro', 'gris']",0.02764784950860629
344,nah si está ratota es el candidato ganan de nuevo los pelones de alfaro fácil este cabrón cada 3 años pierde su elección aún saliendo con el partido en el poder,"['nah', 'si', 'está', 'ratota', 'es', 'el', 'candidato', 'ganan', 'de', 'nuevo', 'los', 'pelones', 'de', 'alfaro', 'fácil', 'este', 'cabrón', 'cada', '3', 'años', 'pierde', 'su', 'elección', 'aún', 'saliendo', 'con', 'el', 'partido', 'en', 'el', 'poder']","[('nah', 'si'), ('si', 'está'), ('está', 'ratota'), ('ratota', 'es'), ('es', 'el'), ('el', 'candidato'), ('candidato', 'ganan'), ('ganan', 'de'), ('de', 'nuevo'), ('nuevo', 'los'), ('los', 'pelones'), ('pelones', 'de'), ('de', 'alfaro'), ('alfaro', 'fácil'), ('fácil', 'este'), ('este', 'cabrón'), ('cabrón', 'cada'), ('cada', '3'), ('3', 'años'), ('años', 'pierde'), ('pierde', 'su'), ('su', 'elección'), ('elección', 'aún'), ('aún', 'saliendo'), ('saliendo', 'con'), ('con', 'el'), ('el', 'partido'), ('partido', 'en'), ('en', 'el'), ('el', 'poder')]","[('nah', 'si', 'está'), ('si', 'está', 'ratota'), ('está', 'ratota', 'es'), ('ratota', 'es', 'el'), ('es', 'el', 'candidato'), ('el', 'candidato', 'ganan'), ('candidato', 'ganan', 'de'), ('ganan', 'de', 'nuevo'), ('de', 'nuevo', 'los'), ('nuevo', 'los', 'pelones'), ('los', 'pelones', 'de'), ('pelones', 'de', 'alfaro'), ('de', 'alfaro', 'fácil'), ('alfaro', 'fácil', 'este'), ('fácil', 'este', 'cabrón'), ('este', 'cabrón', 'cada'), ('cabrón', 'cada', '3'), ('cada', '3', 'años'), ('3', 'años', 'pierde'), ('años', 'pierde', 'su'), ('pierde', 'su', 'elección'), ('su', 'elección', 'aún'), ('elección', 'aún', 'saliendo'), ('aún', 'saliendo', 'con'), ('saliendo', 'con', 'el'), ('con', 'el', 'partido'), ('el', 'partido', 'en'), ('partido', 'en', 'el'), ('en', 'el', 'poder')]",nah si estar ratota ser el candidato ganar de nuevo el pelón de alfaro fácil este cabrón cada 3 año perder su elección aún salir con el partido en el poder,"['nah', 'ratota', 'candidato', 'ganar', 'pelón', 'alfaro', 'fácil', 'cabrón', 'año', 'perder', 'elección', 'salir', 'partido']",0.5983383449748276
345,no invada la banqueta rente un cuchitril y ahí se pone a decir sus pendejadas que culpa tienen los ciudadanos que van transitando por ahí ver la cara de 4 pendejos grises en su oposición al igual que el gobierno,"['no', 'invada', 'la', 'banqueta', 'rente', 'un', 'cuchitril', 'y', 'ahí', 'se', 'pone', 'a', 'decir', 'sus', 'pendejadas', 'que', 'culpa', 'tienen', 'los', 'ciudadanos', 'que', 'van', 'transitando', 'por', 'ahí', 'ver', 'la', 'cara', 'de', '4', 'pendejos', 'grises', 'en', 'su', 'oposición', 'al', 'igual', 'que', 'el', 'gobierno']","[('no', 'invada'), ('invada', 'la'), ('la', 'banqueta'), ('banqueta', 'rente'), ('rente', 'un'), ('un', 'cuchitril'), ('cuchitril', 'y'), ('y', 'ahí'), ('ahí', 'se'), ('se', 'pone'), ('pone', 'a'), ('a', 'decir'), ('decir', 'sus'), ('sus', 'pendejadas'), ('pendejadas', 'que'), ('que', 'culpa'), ('culpa', 'tienen'), ('tienen', 'los'), ('los', 'ciudadanos'), ('ciudadanos', 'que'), ('que', 'van'), ('van', 'transitando'), ('transitando', 'por'), ('por', 'ahí'), ('ahí', 'ver'), ('ver', 'la'), ('la', 'cara'), ('cara', 'de'), ('de', '4'), ('4', 'pendejos'), ('pendejos', 'grises'), ('grises', 'en'), ('en', 'su'), ('su', 'oposición'), ('oposición', 'al'), ('al', 'igual'), ('igual', 'que'), ('que', 'el'), ('el', 'gobierno')]","[('no', 'invada', 'la'), ('invada', 'la', 'banqueta'), ('la', 'banqueta', 'rente'), ('banqueta', 'rente', 'un'), ('rente', 'un', 'cuchitril'), ('un', 'cuchitril', 'y'), ('cuchitril', 'y', 'ahí'), ('y', 'ahí', 'se'), ('ahí', 'se', 'pone'), ('se', 'pone', 'a'), ('pone', 'a', 'decir'), ('a', 'decir', 'sus'), ('decir', 'sus', 'pendejadas'), ('sus', 'pendejadas', 'que'), ('pendejadas', 'que', 'culpa'), ('que', 'culpa', 'tienen'), ('culpa', 'tienen', 'los'), ('tienen', 'los', 'ciudadanos'), ('los', 'ciudadanos', 'que'), ('ciudadanos', 'que', 'van'), ('que', 'van', 'transitando'), ('van', 'transitando', 'por'), ('transitando', 'por', 'ahí'), ('por', 'ahí', 'ver'), ('ahí', 'ver', 'la'), ('ver', 'la', 'cara'), ('la', 'cara', 'de'), ('cara', 'de', '4'), ('de', '4', 'pendejos'), ('4', 'pendejos', 'grises'), ('pendejos', 'grises', 'en'), ('grises', 'en', 'su'), ('en', 'su', 'oposición'), ('su', 'oposición', 'al'), ('oposición', 'al', 'igual'), ('al', 'igual', 'que'), ('igual', 'que', 'el'), ('que', 'el', 'gobierno')]",no invado el banqueta rente uno cuchitril y ahí él poner a decir su pendejada que culpar tener el ciudadano que ir transitar por ahí ver el cara de 4 pendejo gris en su oposición al igual que el gobierno,"['invado', 'banqueta', 'rente', 'cuchitril', 'pendejada', 'culpar', 'ciudadano', 'transitar', 'cara', 'pendejo', 'gris', 'oposición', 'gobierno']",3.234707053806758e-09
346,nublado y gris tu pasado además de tus fechorías ahora dinos tu eres la solución por favor huevon payaso,"['nublado', 'y', 'gris', 'tu', 'pasado', 'además', 'de', 'tus', 'fechorías', 'ahora', 'dinos', 'tu', 'eres', 'la', 'solución', 'por', 'favor', 'huevon', 'payaso']","[('nublado', 'y'), ('y', 'gris'), ('gris', 'tu'), ('tu', 'pasado'), ('pasado', 'además'), ('además', 'de'), ('de', 'tus'), ('tus', 'fechorías'), ('fechorías', 'ahora'), ('ahora', 'dinos'), ('dinos', 'tu'), ('tu', 'eres'), ('eres', 'la'), ('la', 'solución'), ('solución', 'por'), ('por', 'favor'), ('favor', 'huevon'), ('huevon', 'payaso')]","[('nublado', 'y', 'gris'), ('y', 'gris', 'tu'), ('gris', 'tu', 'pasado'), ('tu', 'pasado', 'además'), ('pasado', 'además', 'de'), ('además', 'de', 'tus'), ('de', 'tus', 'fechorías'), ('tus', 'fechorías', 'ahora'), ('fechorías', 'ahora', 'dinos'), ('ahora', 'dinos', 'tu'), ('dinos', 'tu', 'eres'), ('tu', 'eres', 'la'), ('eres', 'la', 'solución'), ('la', 'solución', 'por'), ('solución', 'por', 'favor'), ('por', 'favor', 'huevon'), ('favor', 'huevon', 'payaso')]",nublado y gris tu pasado además de tu fechoría ahora dino tu ser el solución por favor huevon payaso,"['nublado', 'gris', 'fechoría', 'dino', 'solución', 'favor', 'huevon', 'payaso']",1.5881333649911696e-06
347,en puebla armenta mier es del equipo de ebrard y por eso fuchi,"['en', 'puebla', 'armenta', 'mier', 'es', 'del', 'equipo', 'de', 'ebrard', 'y', 'por', 'eso', 'fuchi']","[('en', 'puebla'), ('puebla', 'armenta'), ('armenta', 'mier'), ('mier', 'es'), ('es', 'del'), ('del', 'equipo'), ('equipo', 'de'), ('de', 'ebrard'), ('ebrard', 'y'), ('y', 'por'), ('por', 'eso'), ('eso', 'fuchi')]","[('en', 'puebla', 'armenta'), ('puebla', 'armenta', 'mier'), ('armenta', 'mier', 'es'), ('mier', 'es', 'del'), ('es', 'del', 'equipo'), ('del', 'equipo', 'de'), ('equipo', 'de', 'ebrard'), ('de', 'ebrard', 'y'), ('ebrard', 'y', 'por'), ('y', 'por', 'eso'), ('por', 'eso', 'fuchi')]",en puebla armentar mier ser del equipo de ebrard y por ese fuchi,"['puebla', 'armentar', 'mier', 'equipo', 'ebrard', 'fuchi']",0.06550076538547327
